user_id,account_id,email,job_title,is_marketing_opted_in,created_at,first_logged_in_at,latest_logged_in_at
c9f09fb4-77fb-479d-8191-a0e8210cc76b,ffaffbee-43d5-4bd3-9d58-fd28b9e262d9,harlen.menloe@alice.it,Technical Support Specialist,1,2024-04-23 22:24:39,2024-04-24 05:06:18,2024-12-02 01:21:33
cd5a6db4-66e9-4832-8e61-2799f68aa2f7,ffaffbee-43d5-4bd3-9d58-fd28b9e262d9,pembroke.orred@yahoo.com,Back-End Developer,1,2024-11-01 15:12:17,2024-11-07 07:11:08,2025-02-10 13:36:45
36bce50e-93a8-4811-98ae-7f9395739ef3,ffaffbee-43d5-4bd3-9d58-fd28b9e262d9,gus.noades@gmx.de,Software Engineer,0,2024-11-19 03:14:25,2024-11-22 10:21:11,2025-04-17 03:54:25
782f4bcf-1771-4442-a7de-b15e4f21159b,ffaffbee-43d5-4bd3-9d58-fd28b9e262d9,jaimie.capstick@yahoo.com,Software Engineer,1,2024-01-15 18:15:15,2024-01-19 18:54:59,2024-07-24 01:19:20
12621c09-fde5-4d9f-b10b-1c10c4faca2b,ffaffbee-43d5-4bd3-9d58-fd28b9e262d9,marlane.corns@yahoo.co.in,System Administrator,1,2024-06-23 00:49:50,2024-06-27 15:53:12,2024-08-30 02:23:58
9f16a5a7-b7b2-407f-a950-4ddbb6842ac9,ffaffbee-43d5-4bd3-9d58-fd28b9e262d9,deanna.cokly@hotmail.co.uk,Technical Support Specialist,1,2024-08-23 17:09:33,2024-08-31 23:03:04,2025-02-21 20:35:19
0c9f2ab3-6ea6-46cf-ab8c-717cfb79377a,ffaffbee-43d5-4bd3-9d58-fd28b9e262d9,murial.raecroft@aol.com,Network Engineer,1,2024-02-09 14:02:09,2024-02-13 22:13:43,2024-03-29 18:20:30
2845e846-87bc-47be-80d4-f2c943295f23,ffaffbee-43d5-4bd3-9d58-fd28b9e262d9,giff.veel@hotmail.co.uk,Graphic Designer,0,2024-04-08 13:21:35,2024-04-14 07:51:02,2024-05-30 03:44:59
d8ceaf72-8678-4b0f-a499-06b7e76e59dd,ffaffbee-43d5-4bd3-9d58-fd28b9e262d9,prudence.faulks@gmail.com,Software Engineer,0,2024-02-29 08:06:20,2024-03-01 20:02:36,2024-05-01 12:39:06
4b8c4366-10c5-4e2f-812d-2473c5129fe5,ffaffbee-43d5-4bd3-9d58-fd28b9e262d9,alys.welburn@gmail.com,System Administrator,0,2024-03-03 00:13:34,2024-03-04 21:16:08,2024-11-11 21:24:49
